ID,ALIGN,EYE,HAIR,SEX,ALIVE,APPEARANCES,YEAR,AlignCategory,HairCategory,EyeCategory,SexCategory,AliveCategory
public identity,bad characters,blue eyes,brown hair,male characters,living characters,32.0,1963.0,bad,dark,light,male,living
secret identity,bad characters,brown eyes,brown hair,male characters,living characters,32.0,1963.0,bad,dark,dark,male,living
secret identity,bad characters,black eyes,black hair,male characters,living characters,32.0,1961.0,bad,dark,dark,male,living
identity unknown,bad characters,blue eyes,black hair,male characters,deceased characters,32.0,1960.0,bad,dark,light,male,deceased
public identity,good characters,unknown,black hair,female characters,living characters,32.0,1959.0,good,dark,unknown,female,living
secret identity,bad characters,black eyes,unknown,male characters,living characters,32.0,1958.0,bad,unknown,dark,male,living
secret identity,unknown,brown eyes,brown hair,male characters,living characters,32.0,1954.0,unknown,dark,dark,male,living
secret identity,bad characters,brown eyes,brown hair,male characters,living characters,32.0,1943.0,bad,dark,dark,male,living
secret identity,bad characters,green eyes,unknown,male characters,living characters,32.0,1943.0,bad,unknown,light,male,living
public identity,neutral characters,black eyes,black hair,male characters,living characters,32.0,1941.0,neutral,dark,dark,male,living
public identity,good characters,blue eyes,white hair,male characters,living characters,32.0,1940.0,good,light,light,male,living
public identity,good characters,unknown,unknown,male characters,living characters,31.0,2009.0,good,unknown,unknown,male,living
public identity,bad characters,unknown,unknown,male characters,living characters,31.0,2007.0,bad,unknown,unknown,male,living
secret identity,good characters,blue eyes,blond hair,male characters,deceased characters,31.0,2006.0,good,light,light,male,deceased
public identity,good characters,blue eyes,blond hair,male characters,living characters,31.0,2003.0,good,light,light,male,living
public identity,good characters,unknown,unknown,female characters,living characters,31.0,2002.0,good,unknown,unknown,female,living
public identity,good characters,brown eyes,black hair,male characters,living characters,31.0,2001.0,good,dark,dark,male,living
secret identity,bad characters,brown eyes,brown hair,female characters,deceased characters,31.0,1995.0,bad,dark,dark,female,deceased
secret identity,good characters,brown eyes,black hair,male characters,living characters,31.0,1994.0,good,dark,dark,male,living
secret identity,good characters,black eyes,black hair,female characters,living characters,31.0,1993.0,good,dark,dark,female,living
secret identity,neutral characters,white eyes,red hair,female characters,deceased characters,31.0,1993.0,neutral,dark,light,female,deceased
public identity,bad characters,unknown,brown hair,male characters,deceased characters,31.0,1992.0,bad,dark,unknown,male,deceased
secret identity,good characters,blue eyes,brown hair,male characters,deceased characters,31.0,1991.0,good,dark,light,male,deceased
secret identity,good characters,brown eyes,black hair,male characters,living characters,31.0,1987.0,good,dark,dark,male,living
public identity,unknown,unknown,grey hair,female characters,living characters,31.0,1987.0,unknown,light,unknown,female,living
secret identity,bad characters,unknown,unknown,male characters,living characters,31.0,1987.0,bad,unknown,unknown,male,living
public identity,good characters,unknown,unknown,genderless characters,living characters,31.0,1985.0,good,unknown,unknown,genderless,living
public identity,good characters,unknown,unknown,genderless characters,living characters,31.0,1981.0,good,unknown,unknown,genderless,living
secret identity,bad characters,brown eyes,black hair,male characters,living characters,31.0,1981.0,bad,dark,dark,male,living
identity unknown,good characters,green eyes,unknown,male characters,deceased characters,31.0,1981.0,good,unknown,light,male,deceased
secret identity,bad characters,grey eyes,black hair,male characters,deceased characters,31.0,1980.0,bad,dark,light,male,deceased
public identity,neutral characters,brown eyes,black hair,female characters,living characters,31.0,1977.0,neutral,dark,dark,female,living
public identity,good characters,brown eyes,brown hair,female characters,deceased characters,31.0,1959.0,good,dark,dark,female,deceased
secret identity,good characters,black eyes,black hair,male characters,living characters,30.0,2009.0,good,dark,dark,male,living
public identity,good characters,brown eyes,black hair,male characters,living characters,30.0,2006.0,good,dark,dark,male,living
public identity,unknown,white eyes,unknown,male characters,deceased characters,30.0,2003.0,unknown,unknown,light,male,deceased
public identity,good characters,grey eyes,brown hair,male characters,living characters,30.0,2000.0,good,dark,light,male,living
public identity,bad characters,blue eyes,grey hair,male characters,living characters,30.0,1999.0,bad,light,light,male,living
secret identity,bad characters,yellow eyes,blond hair,male characters,deceased characters,30.0,1999.0,bad,light,light,male,deceased
public identity,good characters,green eyes,brown hair,male characters,living characters,30.0,1995.0,good,dark,light,male,living
secret identity,good characters,brown eyes,brown hair,female characters,living characters,30.0,1993.0,good,dark,dark,female,living
public identity,neutral characters,photocellular eyes,unknown,genderless characters,deceased characters,30.0,1988.0,neutral,unknown,others,genderless,deceased
secret identity,neutral characters,unknown,unknown,male characters,living characters,30.0,1988.0,neutral,unknown,unknown,male,living
identity unknown,good characters,brown eyes,black hair,female characters,living characters,30.0,1987.0,good,dark,dark,female,living
identity unknown,good characters,unknown,white hair,male characters,living characters,30.0,1987.0,good,light,unknown,male,living
secret identity,good characters,blue eyes,brown hair,male characters,deceased characters,30.0,1986.0,good,dark,light,male,deceased
secret identity,bad characters,purple eyes,unknown,female characters,living characters,30.0,1985.0,bad,unknown,light,female,living
secret identity,good characters,brown eyes,black hair,male characters,deceased characters,30.0,1982.0,good,dark,dark,male,deceased
public identity,bad characters,brown eyes,blond hair,female characters,living characters,30.0,1982.0,bad,light,dark,female,living
public identity,bad characters,blue eyes,unknown,male characters,living characters,30.0,1972.0,bad,unknown,light,male,living
secret identity,bad characters,blue eyes,black hair,male characters,deceased characters,30.0,1972.0,bad,dark,light,male,deceased
secret identity,bad characters,orange eyes,unknown,male characters,deceased characters,30.0,1971.0,bad,unknown,light,male,deceased
secret identity,good characters,unknown,grey hair,male characters,living characters,30.0,1970.0,good,light,unknown,male,living
secret identity,bad characters,unknown,black hair,male characters,living characters,30.0,1968.0,bad,dark,unknown,male,living
identity unknown,neutral characters,unknown,unknown,male characters,living characters,30.0,1967.0,neutral,unknown,unknown,male,living
secret identity,bad characters,blue eyes,brown hair,male characters,deceased characters,30.0,1963.0,bad,dark,light,male,deceased
public identity,good characters,unknown,white hair,male characters,living characters,30.0,1959.0,good,light,unknown,male,living
public identity,good characters,unknown,brown hair,male characters,living characters,30.0,1947.0,good,dark,unknown,male,living
identity unknown,unknown,unknown,red hair,male characters,deceased characters,30.0,1942.0,unknown,dark,unknown,male,deceased
public identity,good characters,brown eyes,brown hair,male characters,living characters,30.0,1942.0,good,dark,dark,male,living
identity unknown,unknown,unknown,black hair,male characters,deceased characters,30.0,1942.0,unknown,dark,unknown,male,deceased
identity unknown,unknown,unknown,brown hair,male characters,deceased characters,30.0,1942.0,unknown,dark,unknown,male,deceased
public identity,good characters,brown eyes,black hair,male characters,living characters,29.0,2006.0,good,dark,dark,male,living
public identity,good characters,brown eyes,black hair,female characters,living characters,29.0,2006.0,good,dark,dark,female,living
secret identity,good characters,red eyes,black hair,male characters,living characters,29.0,2006.0,good,dark,others,male,living
secret identity,good characters,blue eyes,blond hair,male characters,living characters,29.0,2003.0,good,light,light,male,living
secret identity,bad characters,brown eyes,brown hair,male characters,living characters,29.0,2002.0,bad,dark,dark,male,living
